"",Message,NAV-ODO,,,,,
"",Description,Odometer Solution,,,,,
"",Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 15 up to version 23.01",,,,,
"",Type,Periodic/Polled,,,,,
"",Comment,"This message outputs the traveled distance since last reset (see NAV-RESETODO) togetherwith an associated estimated accuracy and the total cumulated ground distance (can onlybe reset by a cold start of the receiver).",,,,,
"",Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",,0xB5 0x62,0x01,0x09,20,see below,CK_A CK_B
"",Payload Contents:,,,,,,
"",Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
"",0,U1,-,version,-,Message version (0 for this version),
"",1,U1[3],-,reserved1,-,Reserved,
"",4,U4,-,iTOW,ms,"GPS time of week of the navigation epoch.See the description of iTOW for details.",
"",8,U4,-,distance,m,Ground distance since last reset,
"",12,U4,-,totalDistance,m,Total cumulative ground distance,
"",16,U4,-,distanceStd,m,Ground distance accuracy (1-sigma),
