"",Message,NAV-VELECEF,,,,,
"",Description,Velocity Solution in ECEF,,,,,
"",Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 15 up to version 23.01",,,,,
"",Type,Periodic/Polled,,,,,
"",Comment,"See important comments concerning validity of velocity given in sectionNavigation Output Filters.-",,,,,
"",Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",,0xB5 0x62,0x01,0x11,20,see below,CK_A CK_B
"",Payload Contents:,,,,,,
"",Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
"",0,U4,-,iTOW,ms,"GPS time of week of the navigation epoch.See the description of iTOW for details.",
"",4,I4,-,ecefVX,cm/s,ECEF X velocity,
"",8,I4,-,ecefVY,cm/s,ECEF Y velocity,
"",12,I4,-,ecefVZ,cm/s,ECEF Z velocity,
"",16,U4,-,sAcc,cm/s,Speed accuracy estimate,
