Message,CFG-USB,,,,,
Description,USB Configuration,,,,,
Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 15 up to version 23.01",,,,,
Type,Get/Set,,,,,
Comment,-,,,,,
Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",0xB5 0x62,0x06,0x1B,108,see below,CK_A CK_B
Payload Contents:,,,,,,
Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
0,U2,-,vendorID,-,"Vendor ID. This field shall only be set toregistered Vendor IDs. Changing this fieldrequires special Host drivers.",
2,U2,-,productID,-,"Product ID. Changing this field requires specialHost drivers.",
4,U1[2],-,reserved1,-,Reserved,
6,U1[2],-,reserved2,-,Reserved,
