Message,RXM-PMREQ,,,,,
Description,Requests a Power Management task,,,,,
Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 15 up to version 23.01",,,,,
Type,Command,,,,,
Comment,Request of a Power Management related task of the receiver.,,,,,
Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",0xB5 0x62,0x02,0x41,8,see below,CK_A CK_B
Payload Contents:,,,,,,
Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
0,U4,-,duration,ms,"Duration of the requested task, set to zero forinfinite duration. The maximum supported timeis 12 days.",
4,X4,-,flags,-,task flags (see graphic below),
