"",Message,TIM-FCHG,,,,,
"",Description,Oscillator frequency changed notification,,,,,
"",Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 16 up to version 23.01 (only with Time &Frequency Sync products)",,,,,
"",Type,Periodic/Polled,,,,,
"",Comment,"This message reports frequency changes commanded by the sync manager for the internaland external oscillator. It is output at the configured rate even if the sync manager decidesnot to command a frequency change.",,,,,
"",Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",,0xB5 0x62,0x0D,0x16,32,see below,CK_A CK_B
"",Payload Contents:,,,,,,
"",Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
"",0,U1,-,version,-,Message version (0 for this version),
"",1,U1[3],-,reserved1,-,Reserved,
