"",Message,NAV-ATT,,,,,
"",Description,Attitude Solution,,,,,
"",Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 19 up to version 23.01 (only with ADR orUDR products)",,,,,
"",Type,Periodic/Polled,,,,,
"",Comment,"This message outputs the attitude solution as roll, pitch and heading angles.More details about vehicle attitude can be found in the Vehicle Attitude Output (ADR)section for ADR products.More details about vehicle attitude can be found in the Vehicle Attitude Output (UDR)section for UDR products.",,,,,
"",Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",,0xB5 0x62,0x01,0x05,32,see below,CK_A CK_B
"",Payload Contents:,,,,,,
"",Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
"",0,U4,-,iTOW,ms,"GPS time of week of the navigation epoch.See the description of iTOW for details.",
"",4,U1,-,version,-,Message version (0 for this version),
"",5,U1[3],-,reserved1,-,Reserved,
"",8,I4,1e-5,roll,deg,Vehicle roll.,
"",12,I4,1e-5,pitch,deg,Vehicle pitch.,
"",16,I4,1e-5,heading,deg,Vehicle heading.,
"",20,U4,1e-5,accRoll,deg,"Vehicle roll accuracy (if null, roll angle is notavailable).",
"",24,U4,1e-5,accPitch,deg,"Vehicle pitch accuracy (if null, pitch angle is notavailable).",
"",28,U4,1e-5,accHeading,deg,"Vehicle heading accuracy (if null, heading angleis not available).",
