Message,ESF-STATUS,,,,,
Description,External Sensor Fusion (ESF) status information,,,,,
Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 15.01 up to version 17 (only with ADRproducts)•u-blox 8 / u-blox M8 from protocol version 19 up to version 23.01 (only with ADR orUDR products)",,,,,
Type,Periodic/Polled,,,,,
Comment,-,,,,,
Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",0xB5 0x62,0x10,0x10,16 + 4*numSens,see below,CK_A CK_B
Payload Contents:,,,,,,
Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
0,U4,-,iTOW,ms,"GPS time of week of the navigation epoch.See the description of iTOW for details.",
4,U1,-,version,-,Message version (2 for this version),
5,U1[7],-,reserved1,-,Reserved,
