"",Message,CFG-TP5,,,,,
"",Description,Time Pulse Parameters,,,,,
"",Firmware,"Supported on:•u-blox 8 / u-blox M8 with protocol version 15",,,,,
"",Type,Get/Set,,,,,
"",Comment,"This message is used to get/set time pulse parameters. For more information see sectionTime pulse.",,,,,
"",Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",,0xB5 0x62,0x06,0x31,32,see below,CK_A CK_B
"",Payload Contents:,,,,,,
"",Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
"",0,U1,-,tpIdx,-,"Time pulse selection (0 = TIMEPULSE, 1 =TIMEPULSE2)",
"",1,U1,-,version,-,Message version (0x00 for this version),
"",2,U1[2],-,reserved1,-,Reserved,
"",4,I2,-,antCableDelay,ns,Antenna cable delay,
"",6,I2,-,rfGroupDelay,ns,RF group delay,
"",8,U4,-,freqPeriod,"Hz_or_us","Frequency or period time, depending on settingof bit 'isFreq'",
"",12,U4,-,"freqPeriodLock","Hz_or_us","Frequency or period time when locked to GPStime, only used if 'lockedOtherSet' is set",
"",16,U4,-,pulseLenRatio,"us_or_2^-32","Pulse length or duty cycle, depending on'isLength'",
"",20,U4,-,"pulseLenRatioLock","us_or_2^-32","Pulse length or duty cycle when locked to GPStime, only used if 'lockedOtherSet' is set",
"",24,I4,-,"userConfigDelay",ns,User configurable time pulse delay,
