"",Message,UPD-SOS,,,,,
"",Description,System Restored from Backup,,,,,
"",Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 15 up to version 23.01",,,,,
"",Type,Output,,,,,
"",Comment,"The message is sent from the device to notify the host the BBR has been restored from abackup file in flash. The host should clear the backup file after receiving this message. If theUBX-UPD-SOS message is polled, this message will be resent.",,,,,
"",Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",,0xB5 0x62,0x09,0x14,8,see below,CK_A CK_B
"",Payload Contents:,,,,,,
"",Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
"",0,U1,-,cmd,-,Command (must be 3),
"",1,U1[3],-,reserved1,-,Reserved,
"",4,U1,-,response,-,"0:  Unknown1:  Failed restoring from backup file2:  Restored from backup file3:  Not restored (no backup)",
"",5,U1[3],-,reserved2,-,Reserved,
