Message,CFG-NAVX5,,,,,
Description,Navigation Engine Expert Settings,,,,,
Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 15 up to version 17",,,,,
Type,Get/Set,,,,,
Comment,-,,,,,
Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",0xB5 0x62,0x06,0x23,40,see below,CK_A CK_B
Payload Contents:,,,,,,
Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
0,U2,-,version,-,Message version (0 for this version),
2,X2,-,mask1,-,"First parameters bitmask. Only the flaggedparameters will be applied, unused bits must beset to 0. (see graphic below)",
4,X4,-,mask2,-,"Second parameters bitmask. Only the flaggedparameters will be applied, unused bits must beset to 0. (see graphic below)",
8,U1[2],-,reserved1,-,Reserved,
10,U1,-,minSVs,"#SVs",Minimum number of satellites for navigation,
11,U1,-,maxSVs,"#SVs",Maximum number of satellites for navigation,
