"",Message,RXM-RLM,,,,,
"",Description,Galileo SAR Short-RLM report,,,,,
"",Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 18 up to version 23.01",,,,,
"",Type,Output,,,,,
"",Comment,"This message contains the contents of any Galileo Search and Rescue (SAR) Short ReturnLink Message detected by the receiver.",,,,,
"",Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",,0xB5 0x62,0x02,0x59,16,see below,CK_A CK_B
"",Payload Contents:,,,,,,
"",Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
"",0,U1,-,version,-,Message version (0x00 for this version),
"",1,U1,-,type,-,Message type (0x01 for Short-RLM),
"",2,U1,-,svId,-,"Identifier of transmitting satellite (see SatelliteNumbering)",
"",3,U1,-,reserved1,-,Reserved,
"",4,U1[8],-,beacon,-,"Beacon identifier (60 bits), with bytes orderedby earliest transmitted (most significant) first.Top four bits of first byte are zero.",
"",12,U1,-,message,-,Message code (4 bits),
"",13,U1[2],-,params,-,"Parameters (16 bits), with bytes ordered byearliest transmitted (most significant) first.",
"",15,U1,-,reserved2,-,Reserved,
