Message,NAV-TIMEGPS,,,,,
Description,GPS Time Solution,,,,,
Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 15 up to version 23.01",,,,,
Type,Periodic/Polled,,,,,
Comment,"This message reports the precise GPS time of the most recent navigation solution includingvalidity flags and an accuracy estimate.",,,,,
Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",0xB5 0x62,0x01,0x20,16,see below,CK_A CK_B
Payload Contents:,,,,,,
Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
0,U4,-,iTOW,ms,"GPS time of week of the navigation epoch.See the description of iTOW for details.",
4,I4,-,fTOW,ns,"Fractional part of iTOW (range: +/-500000).The precise GPS time of week in seconds is:(iTOW * 1e-3) + (fTOW * 1e-9)",
8,I2,-,week,-,GPS week number of the navigation epoch,
10,I1,-,leapS,s,GPS leap seconds (GPS-UTC),
11,X1,-,valid,-,Validity Flags (see graphic below),
12,U4,-,tAcc,ns,Time Accuracy Estimate,
