"",Message,LOG-BATCH,,,,,
"",Description,Batched data,,,,,
"",Firmware,"Supported on:•u-blox 8 / u-blox M8 with protocol version 23.01",,,,,
"",Type,Polled,,,,,
"",Comment,"Note that during a leap second there may be more (or less) than 60 seconds in aminute; see the description of leap seconds for details.This message combines position, velocity and time solution, including accuracy figures.The output of this message can be requested via UBX-LOG-RETRIEVEBATCH.The content of this message is influenced by UBX-CFG-BATCH. Depending on the flagsextraPvt and extraOdo some of the fields in this message may not be valid. Thisvalidity information is also indicated in this message via flags of the same name.See Data Batching for more information.",,,,,
"",Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",,0xB5 0x62,0x21,0x11,100,see below,CK_A CK_B
"",Payload Contents:,,,,,,
"",Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
"",0,U1,-,version,-,Message version (0x00 for this version),
"",1,X1,-,contentValid,-,Content validity flags (see graphic below),
"",2,U2,-,msgCnt,-,"Message counter; increments for each sentUBX-LOG-BATCH message.",
"",4,U4,-,iTOW,ms,"GPS time of week of the navigation epoch.See the description of iTOW for details.Only valid if extraPvt is set.",
"",8,U2,-,year,y,Year (UTC),
"",10,U1,-,month,month,"Month, range 1..12 (UTC)",
"",11,U1,-,day,d,"Day of month, range 1..31 (UTC)",
"",12,U1,-,hour,h,"Hour of day, range 0..23 (UTC)",
"",13,U1,-,min,min,"Minute of hour, range 0..59 (UTC)",
"",14,U1,-,sec,s,"Seconds of minute, range 0..60 (UTC)",
"",15,X1,-,valid,-,Validity flags (see graphic below),
"",16,U4,-,tAcc,ns,"Time accuracy estimate (UTC)Only valid if extraPvt is set.",
"",20,I4,-,fracSec,ns,"Fraction of second, range -1e9 .. 1e9 (UTC)",
"",24,U1,-,fixType,-,"GNSSfix Type:0: no fix2: 2D-fix3: 3D-fix",
