"",Message,UBX-MGA-INI-TIME_UTC,,,,,
"",Description,Initial Time Assistance,,,,,
"",Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 15 up to version 23.01",,,,,
"",Type,Input,,,,,
"",Comment,"Supplying time assistance that is inaccurate by more than the specified timeaccuracy, may lead to substantially degraded receiver performance.This message allows the delivery of UTC time assistance to a receiver. This message isequivalent to the UBX-MGA-INI-TIME_GNSS message, except for the time base. See thedescription of AssistNow Online for details.",,,,,
"",Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",,0xB5 0x62,0x13,0x40,24,see below,CK_A CK_B
"",Payload Contents:,,,,,,
"",Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
"",0,U1,-,type,-,Message type (0x10 for this type),
"",1,U1,-,version,-,Message version (0x00 for this version),
"",2,X1,-,ref,-,"Reference to be used to set time (see graphicbelow)",
"",3,I1,-,leapSecs,s,"Number of leap seconds since 1980 (or 0x80 =-128 if unknown)",
"",4,U2,-,year,-,Year,
"",6,U1,-,month,-,"Month, starting at 1",
"",7,U1,-,day,-,"Day, starting at 1",
"",8,U1,-,hour,-,"Hour, from 0 to 23",
"",9,U1,-,minute,-,"Minute, from 0 to 59",
"",10,U1,-,second,s,"Seconds, from 0 to 59",
"",11,U1,-,reserved1,-,Reserved,
"",12,U4,-,ns,ns,"Nanoseconds, from 0 to 999,999,999",
"",16,U2,-,tAccS,s,Seconds part of time accuracy,
"",18,U1[2],-,reserved2,-,Reserved,
"",20,U4,-,tAccNs,ns,"Nanoseconds part of time accuracy, from 0 to999,999,999",
