Message,UBX-MGA-INI-FREQ,,,,,
Description,Initial Frequency Assistance,,,,,
Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 15 up to version 23.01",,,,,
Type,Input,,,,,
Comment,"Supplying external frequency assistance that is inaccurate by more than thespecified accuracy, may lead to substantially degraded receiver performance.This message allows the delivery of external frequency assistance to a receiver. See thedescription of AssistNow Online for details.",,,,,
Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",0xB5 0x62,0x13,0x40,12,see below,CK_A CK_B
Payload Contents:,,,,,,
Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
0,U1,-,type,-,Message type (0x21 for this type),
1,U1,-,version,-,Message version (0x00 for this version),
2,U1,-,reserved1,-,Reserved,
3,X1,-,flags,-,Frequency reference (see graphic below),
4,I4,1e-2,freq,Hz,Frequency,
8,U4,-,freqAcc,ppb,Frequency accuracy,
