"",Message,UBX-MGA-INI-EOP,,,,,
"",Description,Earth Orientation Parameters Assistance,,,,,
"",Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 15 up to version 23.01",,,,,
"",Type,Input,,,,,
"",Comment,"This message allows the delivery of new Earth Orientation Parameters (EOP) to a receiver toimprove AssistNow Autonomous operation.",,,,,
"",Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",,0xB5 0x62,0x13,0x40,72,see below,CK_A CK_B
"",Payload Contents:,,,,,,
"",Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
"",0,U1,-,type,-,Message type (0x30 for this type),
"",1,U1,-,version,-,Message version (0x00 for this version),
"",2,U1[2],-,reserved1,-,Reserved,
"",4,U2,-,d2kRef,d,"reference time (days since 1.1.2000 12.00hUTC)",
"",6,U2,-,d2kMax,d,"expiration time (days since 1.1.2000 12.00hUTC)",
"",8,I4,2^-30,xpP0,arcsec,x_p t^0 polynomial term (offset),
"",12,I4,2^-30,xpP1,"arcsec/d",x_p t^1 polynomial term (drift),
"",16,I4,2^-30,ypP0,arcsec,y_p t^0 polynomial term (offset),
"",20,I4,2^-30,ypP1,"arcsec/d",y_p t^1 polynomial term (drift),
"",24,I4,2^-25,dUT1,s,dUT1 t^0 polynomial term (offset),
"",28,I4,2^-30,ddUT1,s/d,dUT1 t^1 polynomial term (drift),
"",32,U1[40],-,reserved2,-,Reserved,
