Message,MON-IO,,,,,
Description,I/O Subsystem Status,,,,,
Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 15 up to version 23.01",,,,,
Type,Periodic/Polled,,,,,
Comment,"The size of the message is determined by the number of ports 'N' the receiver supports, i.e.on u-blox 5 the number of ports is 6.",,,,,
Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",0xB5 0x62,0x0A,0x02,0 + 20*N,see below,CK_A CK_B
Payload Contents:,,,,,,
Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
Start of repeated block (N times),,,,,,
N*20,U4,-,rxBytes,bytes,Number of bytes ever received,
4 + 20*N,U4,-,txBytes,bytes,Number of bytes ever sent,
8 + 20*N,U2,-,parityErrs,-,Number of 100ms timeslots with parity errors,
10 + 20*N,U2,-,framingErrs,-,Number of 100ms timeslots with framing errors,
12 + 20*N,U2,-,overrunErrs,-,Number of 100ms timeslots with overrun errors,
14 + 20*N,U2,-,breakCond,-,"Number of 100ms timeslots with breakconditions",
16 + 20*N,U1,-,rxBusy,-,Flag is receiver is busy,
17 + 20*N,U1,-,txBusy,-,Flag is transmitter is busy,
18 + 20*N,U1[2],-,reserved1,-,Reserved,
End of repeated block,,,,,,
