Message,UBX-MGA-INI-CLKD,,,,,
Description,Initial Clock Drift Assistance,,,,,
Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 15 up to version 23.01",,,,,
Type,Input,,,,,
Comment,"Supplying clock drift assistance that is inaccurate by more than the specifiedaccuracy, may lead to substantially degraded receiver performance.This message allows the delivery of clock drift assistance to a receiver. See the descriptionof AssistNow Online for details.",,,,,
Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",0xB5 0x62,0x13,0x40,12,see below,CK_A CK_B
Payload Contents:,,,,,,
Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
0,U1,-,type,-,Message type (0x20 for this type),
1,U1,-,version,-,Message version (0x00 for this version),
2,U1[2],-,reserved1,-,Reserved,
4,I4,-,clkD,ns/s,Clock drift,
8,U4,-,clkDAcc,ns/s,Clock drift accuracy,
