Message,RXM-RTCM,,,,,
Description,RTCM input status,,,,,
Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 20.01 up to version 23.01",,,,,
Type,Output,,,,,
Comment,Output upon processing of an RTCM input message,,,,,
Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",0xB5 0x62,0x02,0x32,8,see below,CK_A CK_B
Payload Contents:,,,,,,
Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
0,U1,-,version,-,Message version (0x02 for this version),
1,X1,-,flags,-,RTCM input status flags (see graphic below),
2,U1[2],-,reserved1,-,Reserved,
4,U2,-,refStation,-,Reference station ID,
6,U2,-,msgType,-,Message type,
